"db_id","difficulty","p50_overlap_similarity","p90_overlap_similarity","p99_overlap_similarity"
"debit_card_specializing","simple","0.5555555555555556","0.9800000000000004","1.0"
"debit_card_specializing","challenging","0.3224431818181818","0.3657575757575757","0.36657575757575755"
"debit_card_specializing","moderate","0.5","0.8329670329670331","0.9285714285714286"
"thrombosis_prediction","simple","0.6666666666666666","0.9200000000000003","1.0"
"thrombosis_prediction","challenging","0.5714285714285714","0.8233333333333333","0.9835294117647058"
"thrombosis_prediction","moderate","0.6153846153846154","0.8","1.0"
"california_schools","simple","0.5","0.8173076923076925","1.0"
"california_schools","challenging","0.35714285714285715","0.4991304347826087","0.5586086956521739"
"california_schools","moderate","0.4583333333333333","0.8046153846153847","0.8869934640522875"
