"db_id","difficulty","p50_overlap_similarity","p90_overlap_similarity","p99_overlap_similarity"
"debit_card_specializing","simple","0.5","0.6984615384615385","0.8057692307692306"
"debit_card_specializing","challenging","0.3239289446185998","0.3579937304075235","0.36307210031347964"
"debit_card_specializing","moderate","0.42857142857142855","0.5882352941176471","0.6376470588235295"
"thrombosis_prediction","simple","0.3888888888888889","0.6195804195804197","0.8297142857142855"
"thrombosis_prediction","challenging","0.36666666666666664","0.6085714285714285","0.6769999999999999"
"thrombosis_prediction","moderate","0.3684210526315789","0.5426573426573427","0.7092647058823525"
"california_schools","simple","0.5","0.6595238095238096","1.0"
"california_schools","challenging","0.3055555555555556","0.42857142857142855","0.42857142857142855"
"california_schools","moderate","0.3849206349206349","0.7050000000000001","0.9086111111111111"
