"db_id","difficulty","p50_overlap_similarity","p90_overlap_similarity","p99_overlap_similarity"
"debit_card_specializing","simple","0.5","0.6666666666666666","0.7987692307692306"
"debit_card_specializing","challenging","0.3345959595959596","0.48601398601398604","0.5332167832167831"
"debit_card_specializing","moderate","0.47619047619047616","0.65","0.95"
"thrombosis_prediction","simple","0.5","0.741818181818182","0.8571428571428571"
"thrombosis_prediction","challenging","0.45","0.6575","0.7453333333333333"
"thrombosis_prediction","moderate","0.4444444444444444","0.696923076923077","0.8746666666666665"
"california_schools","simple","0.5477272727272727","0.8579365079365082","1.0"
"california_schools","challenging","0.32142857142857145","0.4824561403508772","0.5219298245614035"
"california_schools","moderate","0.4166666666666667","0.708791208791209","0.9086111111111111"
