"db_id","difficulty","p50_overlap_similarity","p90_overlap_similarity","p99_overlap_similarity"
"debit_card_specializing","simple","0.7272727272727273","1.0","1.0"
"debit_card_specializing","challenging","0.3714733542319749","0.6547021943573668","0.7609247648902819"
"debit_card_specializing","moderate","0.5625","0.92","1.0"
"thrombosis_prediction","simple","0.6666666666666666","1.0","1.0"
"thrombosis_prediction","challenging","0.625","0.8512820512820513","0.9376470588235294"
"thrombosis_prediction","moderate","0.6153846153846154","0.8294117647058824","1.0"
"california_schools","simple","0.7350877192982456","0.926923076923077","1.0"
"california_schools","challenging","0.4482758620689655","0.7088235294117647","0.7458823529411764"
"california_schools","moderate","0.66875","0.8894736842105263","0.9758333333333334"
